,CityID,City,Humidity,Temp,Latitude,Cloudiness,WindSpeed,MaxTemp,Longitude,LatLong,CountryCode
135,2618795,Klaksvik,87,44.6,62.23,100,26.4,44.6,-6.59,"{'lon': -6.59, 'lat': 62.23}",FO
136,3352263,Warmbad,71,57.78,-28.45,0,6.35,57.78,18.73,"{'lon': 18.73, 'lat': -28.45}",NA
137,2264557,Ponta do Sol,62,55.22,32.67,20,6.93,59.0,-17.1,"{'lon': -17.1, 'lat': 32.67}",PT
138,699328,Novopokrovka,84,32.0,49.84,75,13.42,32.0,36.55,"{'lon': 36.55, 'lat': 49.84}",UA
139,4035715,Avarua,83,80.6,-21.21,100,6.93,80.6,-159.78,"{'lon': -159.78, 'lat': -21.21}",CK
140,1649150,Bengkulu,65,85.17,-3.8,78,3.33,85.17,102.27,"{'lon': 102.27, 'lat': -3.8}",ID
141,5367788,Lompoc,100,53.82,34.64,1,5.82,57.99,-120.46,"{'lon': -120.46, 'lat': 34.64}",US
142,713743,Yakymivka,95,35.02,46.69,100,16.78,35.02,35.15,"{'lon': 35.15, 'lat': 46.69}",UA
143,2180815,Tuatapere,74,64.0,-46.13,36,14.0,64.0,167.68,"{'lon': 167.68, 'lat': -46.13}",NZ
144,1528998,Yumen,60,21.06,40.28,47,6.31,21.06,97.2,"{'lon': 97.2, 'lat': 40.28}",CN
145,3665202,Aripuana,97,74.07,-9.17,100,1.25,74.07,-60.63,"{'lon': -60.63, 'lat': -9.17}",BR
146,2178753,Kirakira,78,82.06,-10.45,56,1.16,82.06,161.92,"{'lon': 161.92, 'lat': -10.45}",SB
147,2013258,Vrangel,60,31.08,42.73,0,3.11,31.08,133.08,"{'lon': 133.08, 'lat': 42.73}",RU
148,2121025,Srednekolymsk,96,-34.06,67.45,65,7.0,-34.06,153.68,"{'lon': 153.68, 'lat': 67.45}",RU
149,3355672,Luderitz,82,62.6,-26.65,0,1.12,62.6,15.16,"{'lon': 15.16, 'lat': -26.65}",NA
150,3024035,Concarneau,64,37.4,47.88,0,10.29,39.2,-3.92,"{'lon': -3.92, 'lat': 47.88}",FR
151,1861280,Itoman,69,74.79,26.12,75,10.29,75.2,127.67,"{'lon': 127.67, 'lat': 26.12}",JP
152,101312,Turaif,95,32.0,31.67,0,6.93,32.0,38.66,"{'lon': 38.66, 'lat': 31.67}",SA
153,1254709,Tezu,71,59.18,27.92,100,1.79,59.18,96.17,"{'lon': 96.17, 'lat': 27.92}",IN
154,2315026,Kasongo-Lunda,95,66.88,-6.47,100,0.89,66.88,16.82,"{'lon': 16.82, 'lat': -6.47}",CD
155,5905393,Bonavista,84,21.0,48.65,100,1.01,21.0,-53.11,"{'lon': -53.11, 'lat': 48.65}",CA
156,515879,Oktyabrskiy,93,21.45,54.48,100,9.51,21.45,53.47,"{'lon': 53.47, 'lat': 54.48}",RU
157,1282256,Hithadhoo,80,84.72,-0.6,2,16.24,84.72,73.08,"{'lon': 73.08, 'lat': -0.6}",MV
158,2725123,Arvika,79,27.68,59.66,8,8.05,28.4,12.59,"{'lon': 12.59, 'lat': 59.66}",SE
159,932987,Tsabong,21,77.16,-26.02,33,9.26,77.16,22.4,"{'lon': 22.4, 'lat': -26.02}",BW
160,3466980,Caravelas,86,78.33,-17.71,100,26.35,78.33,-39.25,"{'lon': -39.25, 'lat': -17.71}",BR
161,5859699,College,75,-9.99,64.86,90,0.87,-8.0,-147.8,"{'lon': -147.8, 'lat': 64.86}",US
162,1721720,Cabatuan,71,79.59,10.88,15,12.97,79.59,122.49,"{'lon': 122.49, 'lat': 10.88}",PH
163,3443061,Chui,88,68.22,-33.7,4,7.65,68.22,-53.46,"{'lon': -53.46, 'lat': -33.7}",UY
164,3893656,Copiapo,82,66.2,-27.37,1,2.24,66.2,-70.33,"{'lon': -70.33, 'lat': -27.37}",CL
165,3175096,Laas,63,29.44,46.62,5,5.82,34.0,10.7,"{'lon': 10.7, 'lat': 46.62}",IT
166,2250645,Kedougou,22,75.06,12.56,76,1.41,75.06,-12.17,"{'lon': -12.17, 'lat': 12.56}",SN
167,2381972,Adrar,29,63.0,20.5,100,7.49,63.0,-10.07,"{'lon': -10.07, 'lat': 20.5}",MR
168,1705441,Lubao,58,86.0,14.92,75,9.17,88.0,120.55,"{'lon': 120.55, 'lat': 14.92}",PH
169,2171722,Charters Towers,66,83.86,-20.1,87,10.38,83.86,146.27,"{'lon': 146.27, 'lat': -20.1}",AU
170,57000,Hobyo,83,77.2,5.35,74,15.52,77.2,48.53,"{'lon': 48.53, 'lat': 5.35}",SO
171,5520993,El Paso,66,50.29,31.76,1,4.7,55.4,-106.49,"{'lon': -106.49, 'lat': 31.76}",US
172,2729907,Longyearbyen,55,6.8,78.22,21,16.11,6.8,15.64,"{'lon': 15.64, 'lat': 78.22}",SJ
173,6111862,Port Hardy,87,42.8,50.7,90,29.97,42.8,-127.42,"{'lon': -127.42, 'lat': 50.7}",CA
174,6089245,Norman Wells,83,-7.6,65.28,75,3.36,-7.6,-126.83,"{'lon': -126.83, 'lat': 65.28}",CA
175,780687,Berlevag,75,26.6,70.86,100,20.13,26.6,29.09,"{'lon': 29.09, 'lat': 70.86}",NO
176,4156920,Golden Gate,77,55.15,26.19,40,6.93,59.0,-81.7,"{'lon': -81.7, 'lat': 26.19}",US
177,1633070,Palembang,65,86.41,-2.92,1,5.03,86.41,104.75,"{'lon': 104.75, 'lat': -2.92}",ID
178,2171766,Charlestown,18,105.66,-32.95,4,19.46,108.0,151.67,"{'lon': 151.67, 'lat': -32.95}",AU
179,1680312,Umiray,65,75.79,15.22,19,11.86,75.79,121.41,"{'lon': 121.41, 'lat': 15.22}",PH
180,2270385,Camacha,77,59.0,33.08,40,12.75,59.0,-16.33,"{'lon': -16.33, 'lat': 33.08}",PT
181,1687186,Sarangani,74,81.88,5.4,0,17.67,81.88,125.46,"{'lon': 125.46, 'lat': 5.4}",PH
182,1270343,Harij,50,59.29,23.7,0,7.29,59.29,71.9,"{'lon': 71.9, 'lat': 23.7}",IN
183,1626493,Srandakan,59,86.99,-7.94,35,3.27,86.99,110.25,"{'lon': 110.25, 'lat': -7.94}",ID
184,1266397,Kodinar,42,65.19,20.79,4,17.34,65.19,70.7,"{'lon': 70.7, 'lat': 20.79}",IN
185,1283285,Jumla,55,25.02,29.27,0,2.46,25.02,82.18,"{'lon': 82.18, 'lat': 29.27}",NP
186,2396518,Port-Gentil,76,83.19,-0.72,0,6.08,83.19,8.78,"{'lon': 8.78, 'lat': -0.72}",GA
187,1159716,Sarakhs,75,42.8,36.54,100,6.93,42.8,61.16,"{'lon': 61.16, 'lat': 36.54}",IR
188,2316748,Bolobo,71,76.1,-2.17,97,1.68,76.1,16.23,"{'lon': 16.23, 'lat': -2.17}",CD
189,2177069,Ballina,74,91.4,-28.87,62,19.46,95.0,153.57,"{'lon': 153.57, 'lat': -28.87}",AU
190,4013679,Coahuayana Viejo,88,71.6,18.73,75,3.15,71.6,-103.68,"{'lon': -103.68, 'lat': 18.73}",MX
191,2392087,Porto-Novo,88,82.4,6.5,20,4.7,82.4,2.6,"{'lon': 2.6, 'lat': 6.5}",BJ
192,608872,Makat,98,34.21,47.65,100,18.99,34.21,53.35,"{'lon': 53.35, 'lat': 47.65}",KZ
193,1314759,Lashio,44,67.19,22.93,0,1.28,67.19,97.75,"{'lon': 97.75, 'lat': 22.93}",MM
194,2138555,Poum,75,79.72,-20.23,0,12.97,79.72,164.02,"{'lon': 164.02, 'lat': -20.23}",NC
195,5983720,Iqaluit,75,-16.29,63.75,75,0.74,-16.01,-68.51,"{'lon': -68.51, 'lat': 63.75}",CA
196,3372760,Praia da Vitoria,76,57.2,38.73,40,16.71,57.2,-27.07,"{'lon': -27.07, 'lat': 38.73}",PT
197,1788852,Xining,45,21.24,36.62,26,2.46,21.24,101.77,"{'lon': 101.77, 'lat': 36.62}",CN
198,1789647,Xichang,58,38.12,27.9,0,6.69,38.12,102.26,"{'lon': 102.26, 'lat': 27.9}",CN
199,1696188,Palauig,57,78.75,15.44,0,7.05,78.75,119.9,"{'lon': 119.9, 'lat': 15.44}",PH
200,2629833,Husavik,47,33.8,66.04,75,44.96,33.8,-17.34,"{'lon': -17.34, 'lat': 66.04}",IS
201,5882953,Aklavik,75,-16.6,68.22,90,2.24,-16.6,-135.01,"{'lon': -135.01, 'lat': 68.22}",CA
202,2020313,Mama,98,-17.93,58.31,100,4.68,-17.93,112.9,"{'lon': 112.9, 'lat': 58.31}",RU
203,2014718,Tynda,95,-14.82,55.17,100,3.44,-14.82,124.72,"{'lon': 124.72, 'lat': 55.17}",RU
204,6255012,Flinders,14,103.75,-34.58,90,16.11,105.01,150.86,"{'lon': 150.86, 'lat': -34.58}",AU
205,556283,Inza,94,24.19,53.85,97,6.89,24.19,46.36,"{'lon': 46.36, 'lat': 53.85}",RU
206,2175819,Biloela,59,87.01,-24.42,100,10.0,87.01,150.5,"{'lon': 150.5, 'lat': -24.42}",AU
207,2121385,Severo-Kuril'sk,81,18.37,50.68,97,13.33,18.37,156.12,"{'lon': 156.12, 'lat': 50.68}",RU
208,1280037,Shache,84,24.01,38.42,0,4.83,24.01,77.24,"{'lon': 77.24, 'lat': 38.42}",CN
209,2127202,Anadyr,67,-27.22,64.75,0,6.71,-27.0,177.48,"{'lon': 177.48, 'lat': 64.75}",RU
210,1513491,Yangi Marg`ilon,86,24.84,40.43,75,2.24,26.6,71.72,"{'lon': 71.72, 'lat': 40.43}",UZ
211,3361934,Saldanha,68,64.4,-33.01,0,3.36,64.4,17.94,"{'lon': 17.94, 'lat': -33.01}",ZA
212,2013918,Ust-Maya,97,-24.0,60.42,59,1.1,-24.0,134.53,"{'lon': 134.53, 'lat': 60.42}",RU
213,6115187,Quesnel,86,28.4,53.0,90,2.24,28.4,-122.5,"{'lon': -122.5, 'lat': 53}",CA
214,2521673,Archidona,82,45.73,37.1,75,11.41,57.2,-4.39,"{'lon': -4.39, 'lat': 37.1}",ES
215,3347719,Luena,98,62.82,-11.78,100,4.68,62.82,19.92,"{'lon': 19.92, 'lat': -11.78}",AO
216,2646557,Horsham,100,43.45,51.06,75,4.7,45.0,-0.33,"{'lon': -0.33, 'lat': 51.06}",GB
217,7671223,Kloulklubed,78,82.4,7.04,75,13.87,82.4,134.26,"{'lon': 134.26, 'lat': 7.04}",PW
218,293842,Kiryat Gat,87,44.8,31.61,75,4.7,48.2,34.76,"{'lon': 34.76, 'lat': 31.61}",IL
219,2071860,Esperance,46,69.8,-33.87,75,13.87,69.8,121.9,"{'lon': 121.9, 'lat': -33.87}",AU
